name,price,img,km,year,type
سوناتا 2016 فل ليمتد كاش أو اقساط,16700,https://opensooq-images.os-cdn.com/previews/220x0/6d4e/2209/6d4e2209523f4a8652564f9a5187e85174ac16519e04685dff4614a6463e9140.jpg.jpg,"٢٠,٠٠٠ - ٢٩,٩٩٩",2016,هيونداي
جيب طوارق فل الفل ( فحص كامل ) مع هيدروليك للبيع كاش او تقسيط او البدل,5000,https://opensooq-images.os-cdn.com/previews/220x0/6f51/5514/6f515514f537575dd093c0c5196aac9e7b81a54413cffc0499b491f0a6fa4206.jpg.jpg,"١٤٠,٠٠٠ - ١٤٩,٩٩٩",2004,فولكسفاغن
سول 2018 فل الكتريك فل مدخلين  ارخص سياره كهرباء,12599,https://opensooq-images.os-cdn.com/previews/220x0/eb25/8338/eb2583387ce47b64ac9fceb87916c8d9255a0903f43292baa8cc144de47a7566.jpg.jpg,"٥٠,٠٠٠ - ٥٩,٩٩٩",2018,كيا
هوينداي AD موديل 2016 فحص كامل حره جديد,13800,https://opensooq-images.os-cdn.com/previews/220x0/361b/20f7/361b20f75295c385e106e490083309e15576ccdf1a6fcddf7e581662bc3fd8ff.jpg.jpg,"١ - ٩,٩٩٩",2016,هيونداي
هونداي ايونيك فل كهرباء 2017,13900,https://opensooq-images.os-cdn.com/previews/220x0/ad32/8c78/ad328c78e856850ad16eb69ed8114b994f12a1f35ed6a4c2a4bd7176965dd782.jpg.jpg,"١٠,٠٠٠ - ١٩,٩٩٩",2017,هيونداي
هونداي افانتيMD 2015 وارد كوري فحص 7جيد جمرك جديد كاش واقساط,12000,https://opensooq-images.os-cdn.com/previews/220x0/de63/ed13/de63ed1326e45becbe9bc192cfb47aa6220e3c2b6d4230178e7af186e673acdc.jpg.jpg,٠,2015,هيونداي
لينكولين 2015 فل كامل بانوراما,23500,https://opensooq-images.os-cdn.com/previews/220x0/4290/d7b4/4290d7b4bebca2f8d731edac67e9dd16de09ea28753ef7928cc8d6ce5b3471a8.jpg.jpg,"٩٠,٠٠٠ - ٩٩,٩٩٩",2015,لينكولن
لكزس nx فل كامل 2017,34500,https://opensooq-images.os-cdn.com/previews/220x0/5452/626e/5452626e40310d04380e3093952ad52893a2981e97e298032e978276c139206d.jpg.jpg,"٨٠,٠٠٠ - ٨٩,٩٩٩",2017,لكزس
فورد C-max 2017,10750,https://opensooq-images.os-cdn.com/previews/220x0/fda2/75aa/fda275aa1563a7656d3be77badb85e2633b459ddbd2c679114824086cef6b136.jpg.jpg,"٥٠,٠٠٠ - ٥٩,٩٩٩",2017,فورد
تيوتا كامري 2018 ليثيوم,21500,https://opensooq-images.os-cdn.com/previews/220x0/5d46/f454/5d46f4544ac58635c5ff2a8cf593b2db617f649a3cd862858ae2af30a100686c.jpg.jpg,"٢٠,٠٠٠ - ٢٩,٩٩٩",2018,تويوتا
سياره BMW 330E سلفرمميزموديل 2018 هايبرد,28900,https://opensooq-images.os-cdn.com/previews/220x0/c94b/1408/c94b1408bb9348c8fd1f72792b691db884ecd22f1f31abe6dd810832ca2e359f.jpg.jpg,"١ - ٩,٩٩٩",2018,بي ام دبليو
نيسان باثفايندر2016,26000,https://opensooq-images.os-cdn.com/previews/220x0/00be/04ae/00be04aee342b2bde1526d06a71dd92045c06bdd57bf83da4b96ab79483977e3.jpg.jpg,"٧٠,٠٠٠ - ٧٩,٩٩٩",2016,نيسان
بكب دوج رام 2017 dodge ram,17500,https://opensooq-images.os-cdn.com/previews/220x0/f5bc/2d76/f5bc2d7661264b172643872e68c4c9976bfcae0391144b4e7f68021da8387cd2.jpg.jpg,"٣٠,٠٠٠ - ٣٩,٩٩٩",2017,دودج
chevrolett tahoe شفرولية  تاهو 2008,18000,https://opensooq-images.os-cdn.com/previews/220x0/58ab/0187/58ab01876ef2f27508fe64b53cf278afe7b01f0206539878807b8855ba931a74.jpg.jpg,"١٧٠,٠٠٠ - ١٧٩,٩٩٩",2008,شيفروليه
سيات ابيزا  معدله تيربو 1998 قابل للبدل بشروط,7500,https://opensooq-images.os-cdn.com/previews/220x0/1c45/148d/1c45148d35745e22c506c0f2c634d3ad3e7ed820e482719056f5ff57d41290ab.jpg.jpg,"٢٠,٠٠٠ - ٢٩,٩٩٩",1998,سيات
جولف كهرباء  المناخ 2016 volkswagen egolf,12400,https://opensooq-images.os-cdn.com/previews/220x0/3ef0/8f58/3ef08f580ca04ceb45cc87f83608f823aaba88a6fa785e90c9724af618563384.jpg.jpg,"١ - ٩,٩٩٩",2016,فولكسفاغن
